[15:30:10] [ServerMain/INFO]: Building unoptimized datafixer
[15:30:11] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[15:30:12] [ServerMain/INFO]: Loaded 7 recipes
[15:30:13] [Server thread/INFO]: Starting minecraft server version 1.19.3
[15:30:13] [Server thread/INFO]: Loading properties
[15:30:13] [Server thread/INFO]: This server is running Paper version git-Paper-396 (MC: 1.19.3) (Implementing API version 1.19.3-R0.1-SNAPSHOT) (Git: bd77b78)
[15:30:13] [Server thread/INFO]: Server Ping Player Sample Count: 12
[15:30:13] [Server thread/INFO]: Using 4 threads for Netty based IO
[15:30:13] [Server thread/INFO]: [ChunkTaskScheduler] Chunk system is using 1 I/O threads, 3 worker threads, and gen parallelism of 3 threads
[15:30:13] [Server thread/INFO]: Default game type: SURVIVAL
[15:30:13] [Server thread/INFO]: Generating keypair
[15:30:13] [Server thread/INFO]: Starting Minecraft server on *:25565
[15:30:13] [Server thread/INFO]: Using default channel type
[15:30:13] [Server thread/INFO]: Paper: Using Java compression from Velocity.
[15:30:13] [Server thread/INFO]: Paper: Using Java cipher from Velocity.
[15:30:14] [Server thread/INFO]: [GSit] Loading GSit v1.3.7
[15:30:14] [Server thread/INFO]: [Timber] Loading Timber v1.1.0
[15:30:14] [Server thread/INFO]: [floodgate] Loading floodgate v2.2.0-SNAPSHOT (b74-4f36112)
[15:30:15] [Server thread/INFO]: [floodgate] Demorou 391ms para inicializar o Floodgate
[15:30:15] [Server thread/INFO]: [Geyser-Spigot] Loading Geyser-Spigot v2.1.0-SNAPSHOT
[15:30:15] [Server thread/INFO]: [Geyser-Spigot] Carregando extensões...
[15:30:15] [Server thread/INFO]: [Geyser-Spigot] 0 extensão(ões) carregada
[15:30:15] [Server thread/INFO]: Server permissions file permissions.yml is empty, ignoring it
[15:30:15] [Server thread/INFO]: Preparing level "world"
[15:30:16] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[15:30:16] [Server thread/INFO]: Time elapsed: 139 ms
[15:30:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[15:30:16] [Server thread/INFO]: Time elapsed: 25 ms
[15:30:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[15:30:16] [Server thread/INFO]: Time elapsed: 15 ms
[15:30:16] [Server thread/INFO]: [GSit] Enabling GSit v1.3.7
[15:30:16] [Server thread/INFO]: [GSit] The plugin was successfully enabled.
[15:30:17] [Server thread/INFO]: [Timber] Enabling Timber v1.1.0
[15:30:17] [Server thread/INFO]: Timber Log Materials: [ACACIA_LOG, CRIMSON_STEM, WARPED_STEM, OAK_LOG, BIRCH_LOG, SPRUCE_LOG, JUNGLE_LOG, DARK_OAK_LOG]
[15:30:17] [Server thread/INFO]: Timber Axe Materials: [WOODEN_AXE, GOLDEN_AXE, DIAMOND_AXE, STONE_AXE, NETHERITE_AXE, IRON_AXE]
[15:30:17] [Server thread/INFO]: [floodgate] Enabling floodgate v2.2.0-SNAPSHOT (b74-4f36112)
[15:30:17] [Server thread/INFO]: [Geyser-Spigot] Enabling Geyser-Spigot v2.1.0-SNAPSHOT
[15:30:18] [Server thread/INFO]: [Geyser-Spigot] ******************************************
[15:30:18] [Server thread/INFO]: [Geyser-Spigot] 
[15:30:18] [Server thread/INFO]: [Geyser-Spigot] Carregando Geyser versão 2.1.0-SNAPSHOT (git-master-e42c2d8)
[15:30:18] [Server thread/INFO]: [Geyser-Spigot] 
[15:30:18] [Server thread/INFO]: [Geyser-Spigot] ******************************************
[15:30:21] [Network Listener - #1/INFO]: [Geyser-Spigot] Geyser iniciado em 0.0.0.0: 19132
[15:30:21] [Server thread/INFO]: [Geyser-Spigot] Concluído (3,57 s)! Execute /geyser help para obter ajuda!
[15:30:21] [Server thread/INFO]: Running delayed init tasks
[15:30:21] [Server thread/INFO]: Done (8.297s)! For help, type "help"
[15:30:21] [Server thread/INFO]: Timings Reset
[15:31:54] [User Authenticator #0/INFO]: UUID of player Riciler is 17072e58-2eb6-48c0-951c-6fb6036a2d57
[15:31:54] [Server thread/INFO]: Riciler joined the game
[15:31:54] [Server thread/INFO]: Riciler[/177.18.144.179:60099] logged in with entity id 301 at ([world]-1298.150815830199, -56.0, -732.03061787163)
[15:32:08] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:08] [Server thread/INFO]: TUFF
[15:32:09] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:09] [Server thread/INFO]: TUFF
[15:32:09] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:09] [Server thread/INFO]: TUFF
[15:32:10] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:10] [Server thread/INFO]: TUFF
[15:32:10] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:10] [Server thread/INFO]: TUFF
[15:32:10] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:10] [Server thread/INFO]: TUFF
[15:32:11] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:11] [Server thread/INFO]: TUFF
[15:32:11] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:11] [Server thread/INFO]: TUFF
[15:32:12] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:12] [Server thread/INFO]: DEEPSLATE
[15:32:12] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:12] [Server thread/INFO]: DEEPSLATE
[15:32:13] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:13] [Server thread/INFO]: DEEPSLATE
[15:32:13] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:13] [Server thread/INFO]: DEEPSLATE
[15:32:14] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:14] [Server thread/INFO]: DEEPSLATE
[15:32:14] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:14] [Server thread/INFO]: DEEPSLATE
[15:32:14] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:14] [Server thread/INFO]: DEEPSLATE
[15:32:15] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:15] [Server thread/INFO]: DEEPSLATE
[15:32:15] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:15] [Server thread/INFO]: DEEPSLATE
[15:32:16] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:16] [Server thread/INFO]: DEEPSLATE
[15:32:16] [Server thread/INFO]: NETHERITE_PICKAXE
[15:32:16] [Server thread/INFO]: DEEPSLATE
[15:32:17] [Server thread/INFO]: NETHERITE_PICKAXE
